epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11250.3,1.33269,1.26705,1.33047,0.3412,0.25791,0.21128,0.109,1.68067,1.8661,1.61089,0.000349331,0.000349331,0.000349331
43,11509.7,1.32089,1.25037,1.3104,0.25261,0.28537,0.23217,0.11685,1.68938,1.87578,1.60976,0.00034351,0.00034351,0.00034351
44,11769.2,1.32336,1.28005,1.34424,0.38562,0.2545,0.22235,0.11519,1.68543,1.89233,1.61562,0.000337688,0.000337688,0.000337688
45,12028.2,1.29838,1.26695,1.31716,0.42348,0.27971,0.2342,0.12267,1.69346,1.94418,1.6156,0.000331867,0.000331867,0.000331867
46,12285.7,1.25952,1.1531,1.30058,0.31389,0.23197,0.21337,0.10719,1.70592,1.91443,1.63695,0.000326046,0.000326046,0.000326046
47,12542.7,1.29837,1.18103,1.3228,0.31445,0.24508,0.20033,0.10308,1.71471,1.95217,1.63797,0.000320225,0.000320225,0.000320225
48,12797.6,1.28535,1.1693,1.31061,0.33863,0.26557,0.20003,0.10048,1.70014,1.97884,1.62774,0.000314404,0.000314404,0.000314404
49,13054.9,1.26014,1.13588,1.30735,0.27934,0.26062,0.22571,0.11241,1.71775,1.90196,1.61889,0.000308582,0.000308582,0.000308582
50,13310.9,1.25143,1.13462,1.27707,0.22033,0.25495,0.19078,0.09081,1.72402,2.03269,1.64833,0.000302761,0.000302761,0.000302761
51,579.281,1.2553,1.17737,1.30399,0.33167,0.23765,0.20045,0.09577,1.75162,1.96991,1.69107,0.00029694,0.00029694,0.00029694
52,839.674,1.26355,1.13163,1.31704,0.35231,0.22189,0.2145,0.11178,1.72858,1.95662,1.66454,0.000291119,0.000291119,0.000291119
53,1098.55,1.25136,1.11875,1.28405,0.3799,0.23326,0.20945,0.1032,1.76069,2.01721,1.67439,0.000285298,0.000285298,0.000285298
54,1357.06,1.20102,1.03773,1.27182,0.35628,0.23556,0.20864,0.10321,1.72991,1.98505,1.68407,0.000279476,0.000279476,0.000279476
55,1616.75,1.22979,1.07834,1.29096,0.23275,0.28351,0.21938,0.10987,1.75012,2.00516,1.66398,0.000273655,0.000273655,0.000273655
56,1878.24,1.22245,1.0658,1.28984,0.39237,0.29371,0.22102,0.10658,1.76542,1.99631,1.70029,0.000267834,0.000267834,0.000267834
57,2138.95,1.18307,1.00029,1.25477,0.27148,0.22042,0.19828,0.09851,1.76463,2.07644,1.70132,0.000262013,0.000262013,0.000262013
58,2396.89,1.1857,1.01803,1.27543,0.36197,0.2472,0.20979,0.09975,1.75679,2.05425,1.6979,0.000256192,0.000256192,0.000256192
59,2654.96,1.1772,0.98177,1.26173,0.35015,0.26833,0.2294,0.11655,1.75823,1.9827,1.70414,0.00025037,0.00025037,0.00025037
60,2912.51,1.14679,0.94296,1.23888,0.26549,0.27537,0.21912,0.11101,1.73865,2.04957,1.71019,0.000244549,0.000244549,0.000244549
61,3172.72,1.14255,0.95805,1.23091,0.31843,0.23429,0.21239,0.10515,1.75065,2.0509,1.72832,0.000238728,0.000238728,0.000238728
62,3431.57,1.1185,0.92553,1.21847,0.27931,0.25371,0.21962,0.10773,1.74261,2.05768,1.70441,0.000232907,0.000232907,0.000232907
63,3688.7,1.12372,0.92647,1.22312,0.24445,0.29356,0.21554,0.10499,1.76238,2.07046,1.71879,0.000227086,0.000227086,0.000227086
64,3946.53,1.11174,0.89937,1.22171,0.28025,0.24953,0.20814,0.10504,1.78954,2.13372,1.73877,0.000221264,0.000221264,0.000221264
65,4206.48,1.08579,0.88667,1.19243,0.32067,0.26983,0.22693,0.113,1.74731,2.06798,1.704,0.000215443,0.000215443,0.000215443
66,4467.49,1.06159,0.87486,1.1839,0.34076,0.2665,0.23826,0.1213,1.76788,2.11339,1.72955,0.000209622,0.000209622,0.000209622
67,4728.12,1.05846,0.86461,1.18079,0.30746,0.26012,0.21495,0.10722,1.75114,2.06824,1.71788,0.000203801,0.000203801,0.000203801
68,4987.1,1.0527,0.86419,1.19159,0.2507,0.30154,0.21122,0.10479,1.75383,2.106,1.73341,0.00019798,0.00019798,0.00019798
69,5245.25,1.03844,0.83714,1.16265,0.22212,0.30596,0.20367,0.09964,1.75898,2.08933,1.73372,0.000192158,0.000192158,0.000192158
70,5506.83,1.0418,0.8125,1.16379,0.35417,0.25102,0.23881,0.11978,1.77269,2.03579,1.74533,0.000186337,0.000186337,0.000186337
71,587.622,1.00045,0.79801,1.14798,0.30606,0.26176,0.21706,0.10396,1.78569,2.21719,1.75438,0.000180516,0.000180516,0.000180516
72,839.534,0.95438,0.74388,1.1278,0.36875,0.2089,0.21725,0.10782,1.77816,2.29424,1.76531,0.000174695,0.000174695,0.000174695
73,1093.13,0.95472,0.74346,1.11283,0.33787,0.25423,0.22267,0.10986,1.77237,2.21767,1.74821,0.000168874,0.000168874,0.000168874
74,1349.83,0.90068,0.68258,1.09008,0.32936,0.25861,0.21993,0.10837,1.79117,2.27281,1.79391,0.000163052,0.000163052,0.000163052
75,1600.91,0.93306,0.71256,1.11835,0.32466,0.26325,0.2321,0.11364,1.77788,2.2837,1.74124,0.000157231,0.000157231,0.000157231
76,1852.88,0.91436,0.69724,1.10528,0.32561,0.27464,0.2284,0.11218,1.78552,2.26428,1.76406,0.00015141,0.00015141,0.00015141
77,2104.13,0.89875,0.66692,1.08535,0.29858,0.26691,0.21698,0.10938,1.78673,2.31116,1.76632,0.000145589,0.000145589,0.000145589
78,2356.38,0.8846,0.66524,1.08489,0.32008,0.25374,0.22058,0.10967,1.80461,2.28972,1.79637,0.000139768,0.000139768,0.000139768
79,2609.19,0.89341,0.65704,1.09023,0.3007,0.23272,0.20882,0.10304,1.78805,2.272,1.78364,0.000133946,0.000133946,0.000133946
80,2861.42,0.85938,0.61385,1.06399,0.36262,0.23633,0.22069,0.11319,1.79724,2.3101,1.81426,0.000128125,0.000128125,0.000128125
81,3113.7,0.87219,0.64306,1.06922,0.32887,0.24415,0.2192,0.10852,1.81218,2.30003,1.80062,0.000122304,0.000122304,0.000122304
82,3366.38,0.84527,0.61913,1.05553,0.32435,0.25456,0.21748,0.10627,1.79981,2.37653,1.79675,0.000116483,0.000116483,0.000116483
83,3620.77,0.85379,0.63103,1.06109,0.31477,0.26756,0.23489,0.1158,1.79722,2.28763,1.79896,0.000110662,0.000110662,0.000110662
84,3872.98,0.83721,0.59838,1.05864,0.35963,0.24346,0.23274,0.1154,1.8077,2.45053,1.81072,0.00010484,0.00010484,0.00010484
