epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.077,1.82191,7.48356,1.60247,0.26014,0.03647,0.01982,0.01078,1.66988,3.32688,1.54645,0.0671158,0.000332164,0.000332164
2,265.297,1.75138,4.53544,1.56374,0.59964,0.0716,0.04966,0.02661,1.59402,2.62335,1.4738,0.0341114,0.000661105,0.000661105
3,402.866,1.6941,3.4977,1.47175,0.47451,0.0886,0.06487,0.03589,1.59226,2.29013,1.38485,0.0011026,0.000985646,0.000985646
4,541.545,1.65782,2.99861,1.4117,0.44529,0.11643,0.10121,0.05983,1.55193,2.11529,1.34126,0.0009802,0.0009802,0.0009802
5,683.409,1.63836,2.63758,1.39276,0.50088,0.14046,0.11356,0.06585,1.57741,2.06135,1.34613,0.0009736,0.0009736,0.0009736
6,835.547,1.64346,2.47361,1.36053,0.3651,0.17953,0.127,0.07107,1.55366,1.93727,1.34159,0.000967,0.000967,0.000967
7,984.35,1.62633,2.29309,1.38113,0.50948,0.16752,0.15212,0.08479,1.55919,1.90442,1.32398,0.0009604,0.0009604,0.0009604
8,1133.84,1.63099,2.2245,1.36491,0.59924,0.15249,0.15717,0.08745,1.55547,1.91721,1.31341,0.0009538,0.0009538,0.0009538
9,1280,1.61009,2.15111,1.35925,0.53691,0.19495,0.18316,0.10255,1.53744,1.82147,1.31236,0.0009472,0.0009472,0.0009472
10,1424.14,1.59737,2.0315,1.3479,0.52985,0.21859,0.19832,0.11482,1.55011,1.84094,1.32683,0.0009406,0.0009406,0.0009406
11,1572.67,1.56596,1.94627,1.31777,0.54128,0.21953,0.20105,0.11566,1.55916,1.81438,1.31884,0.000934,0.000934,0.000934
12,1716.81,1.56249,1.9059,1.32879,0.47726,0.26369,0.20659,0.11351,1.56883,1.7656,1.33066,0.0009274,0.0009274,0.0009274
13,1851.01,1.55269,1.86257,1.31521,0.44639,0.25836,0.20499,0.1205,1.56368,1.76849,1.31681,0.0009208,0.0009208,0.0009208
14,1996.84,1.53687,1.77423,1.28561,0.4967,0.26574,0.2041,0.11929,1.54776,1.761,1.30233,0.0009142,0.0009142,0.0009142
15,2140.61,1.53198,1.74314,1.29272,0.44537,0.26619,0.19997,0.11499,1.53132,1.71819,1.3033,0.0009076,0.0009076,0.0009076
16,2281.14,1.53292,1.68978,1.29695,0.43637,0.30508,0.20222,0.11092,1.55761,1.72416,1.31293,0.000901,0.000901,0.000901
17,2422.96,1.53094,1.67784,1.29331,0.55026,0.24221,0.19919,0.10954,1.55296,1.75357,1.32181,0.0008944,0.0008944,0.0008944
18,2561.8,1.52937,1.68072,1.29479,0.47655,0.24999,0.21213,0.11841,1.5698,1.74273,1.31806,0.0008878,0.0008878,0.0008878
19,2699.6,1.51716,1.59306,1.29341,0.37469,0.25389,0.21024,0.12088,1.55306,1.71722,1.3219,0.0008812,0.0008812,0.0008812
20,2848.83,1.46042,1.59222,1.25844,0.49448,0.28012,0.22013,0.12898,1.55819,1.75929,1.32561,0.0008746,0.0008746,0.0008746
21,2998.82,1.479,1.53537,1.25753,0.36928,0.27612,0.22775,0.1349,1.54726,1.73715,1.3147,0.000868,0.000868,0.000868
22,3148.8,1.48482,1.50522,1.26819,0.26939,0.30176,0.22916,0.13139,1.56117,1.76196,1.34124,0.0008614,0.0008614,0.0008614
23,3293.11,1.46253,1.42986,1.26745,0.29728,0.31421,0.22127,0.12419,1.55164,1.77083,1.3236,0.0008548,0.0008548,0.0008548
24,3433.48,1.45837,1.5222,1.24891,0.25512,0.32185,0.21836,0.12442,1.56449,1.77796,1.32008,0.0008482,0.0008482,0.0008482
25,3572.32,1.44372,1.4483,1.2637,0.31642,0.31917,0.22593,0.13119,1.568,1.74427,1.34248,0.0008416,0.0008416,0.0008416
26,3713.43,1.45025,1.41383,1.22897,0.27465,0.3021,0.22567,0.12897,1.56435,1.76409,1.33006,0.000835,0.000835,0.000835
27,3855.59,1.43982,1.37465,1.23566,0.22139,0.30495,0.22287,0.12354,1.56165,1.72284,1.32127,0.0008284,0.0008284,0.0008284
28,3993.06,1.43146,1.33973,1.25362,0.21241,0.32184,0.21024,0.11642,1.54439,1.75993,1.32685,0.0008218,0.0008218,0.0008218
29,4129.57,1.4127,1.32835,1.23077,0.35385,0.28535,0.22192,0.12417,1.56785,1.76747,1.34051,0.0008152,0.0008152,0.0008152
30,4267.49,1.4303,1.36172,1.23297,0.335,0.29233,0.22934,0.13177,1.57343,1.76893,1.33262,0.0008086,0.0008086,0.0008086
31,4404.88,1.41378,1.30676,1.2185,0.24714,0.30462,0.22934,0.13095,1.57012,1.82668,1.33078,0.000802,0.000802,0.000802
32,4540.83,1.41516,1.30172,1.22182,0.39822,0.25684,0.23508,0.12946,1.55412,1.80022,1.32731,0.0007954,0.0007954,0.0007954
33,4678.68,1.41646,1.29838,1.21656,0.3014,0.29505,0.23516,0.13182,1.56106,1.76825,1.31877,0.0007888,0.0007888,0.0007888
34,4819.37,1.41828,1.28505,1.2117,0.40551,0.25955,0.22674,0.12985,1.56936,1.81412,1.32615,0.0007822,0.0007822,0.0007822
35,4961.53,1.38086,1.22882,1.21804,0.25173,0.27559,0.22647,0.12975,1.56119,1.8487,1.32174,0.0007756,0.0007756,0.0007756
36,5098.38,1.37824,1.21977,1.20248,0.36946,0.27129,0.22983,0.13103,1.57473,1.80878,1.33509,0.000769,0.000769,0.000769
37,5241.29,1.37295,1.23549,1.19853,0.23522,0.30009,0.22273,0.12369,1.59687,1.83798,1.35571,0.0007624,0.0007624,0.0007624
38,5384.91,1.37514,1.22332,1.18765,0.2955,0.28702,0.22913,0.12982,1.57404,1.81546,1.33538,0.0007558,0.0007558,0.0007558
