epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,5521.57,1.37741,1.17749,1.20088,0.29657,0.26823,0.22205,0.12414,1.57752,1.87547,1.33158,0.0007492,0.0007492,0.0007492
40,5663.6,1.34055,1.17544,1.19505,0.30996,0.24585,0.23051,0.13121,1.58804,1.8101,1.336,0.0007426,0.0007426,0.0007426
41,5803.34,1.37238,1.14952,1.18571,0.36504,0.26867,0.2362,0.13561,1.58215,1.83203,1.34644,0.000736,0.000736,0.000736
42,5954.88,1.3492,1.15294,1.18049,0.31085,0.29755,0.23262,0.13163,1.58984,1.8435,1.33372,0.0007294,0.0007294,0.0007294
43,6096.4,1.33747,1.11746,1.1766,0.3438,0.25049,0.21895,0.12451,1.6,1.82628,1.33976,0.0007228,0.0007228,0.0007228
44,6235.63,1.33994,1.1274,1.16711,0.39987,0.23989,0.2247,0.13026,1.58312,1.83716,1.33046,0.0007162,0.0007162,0.0007162
45,6371.87,1.33352,1.1319,1.16837,0.25449,0.31876,0.23203,0.13505,1.58893,1.84867,1.33083,0.0007096,0.0007096,0.0007096
46,6506.89,1.31667,1.0905,1.17333,0.35722,0.24768,0.22928,0.13199,1.59018,1.88906,1.33666,0.000703,0.000703,0.000703
47,6645.95,1.30551,1.0709,1.16161,0.2758,0.28747,0.2193,0.12357,1.59606,1.92078,1.33455,0.0006964,0.0006964,0.0006964
48,6786.61,1.29586,1.07006,1.16514,0.31273,0.26743,0.23466,0.13452,1.61147,1.87382,1.34402,0.0006898,0.0006898,0.0006898
49,6927.5,1.29429,1.07862,1.15593,0.29033,0.31739,0.23789,0.1369,1.59869,1.85027,1.35071,0.0006832,0.0006832,0.0006832
50,7077.28,1.30888,1.06407,1.15218,0.2503,0.31223,0.22447,0.1275,1.58887,1.8999,1.34195,0.0006766,0.0006766,0.0006766
51,7222.74,1.27004,1.02037,1.14872,0.31415,0.28394,0.22194,0.12261,1.60788,1.88423,1.3565,0.00067,0.00067,0.00067
52,7368.24,1.28979,1.01909,1.15767,0.33365,0.2855,0.2317,0.13488,1.61751,1.88967,1.35352,0.0006634,0.0006634,0.0006634
53,7510.21,1.28389,1.02303,1.16287,0.2901,0.32257,0.23985,0.13911,1.60918,1.87852,1.35622,0.0006568,0.0006568,0.0006568
54,7660.06,1.2818,1.01801,1.14756,0.29893,0.29426,0.22878,0.1273,1.61106,1.93657,1.35948,0.0006502,0.0006502,0.0006502
55,7800.86,1.26547,1.00456,1.14201,0.30042,0.29822,0.22276,0.1245,1.61197,1.87391,1.35935,0.0006436,0.0006436,0.0006436
56,7940.03,1.2662,0.99397,1.14447,0.24711,0.32222,0.22452,0.12291,1.61992,1.89375,1.35147,0.000637,0.000637,0.000637
57,8084.31,1.27046,1.01961,1.13928,0.28392,0.29641,0.23616,0.12902,1.61863,1.85825,1.37166,0.0006304,0.0006304,0.0006304
58,8219.94,1.24656,1.03253,1.12022,0.3996,0.24197,0.21654,0.12039,1.61137,1.94982,1.35514,0.0006238,0.0006238,0.0006238
59,8359.4,1.23704,0.9536,1.14265,0.28648,0.27827,0.21608,0.12054,1.62439,1.97158,1.36756,0.0006172,0.0006172,0.0006172
60,8498.76,1.23522,0.97916,1.13625,0.31972,0.27806,0.23647,0.13801,1.61816,1.91501,1.36731,0.0006106,0.0006106,0.0006106
61,8637.92,1.21539,0.94784,1.11538,0.39403,0.30572,0.2457,0.14311,1.61315,1.90612,1.36876,0.000604,0.000604,0.000604
62,8784.91,1.19007,0.92467,1.11585,0.42573,0.2976,0.25123,0.14252,1.63356,1.89987,1.37742,0.0005974,0.0005974,0.0005974
63,8932.83,1.21257,0.94875,1.11639,0.41379,0.29445,0.24932,0.1429,1.63355,1.94269,1.37814,0.0005908,0.0005908,0.0005908
64,9083.35,1.18777,0.93612,1.11561,0.36138,0.29614,0.26362,0.15193,1.63356,1.93111,1.38028,0.0005842,0.0005842,0.0005842
65,9231.39,1.1889,0.90228,1.10971,0.3595,0.27914,0.25786,0.14965,1.63518,1.91509,1.38035,0.0005776,0.0005776,0.0005776
66,9378.19,1.21253,0.94228,1.10238,0.27581,0.33625,0.24461,0.13914,1.63145,1.90798,1.37221,0.000571,0.000571,0.000571
67,9521.44,1.21183,0.92573,1.10878,0.28904,0.30707,0.23394,0.13041,1.64463,1.91854,1.40574,0.0005644,0.0005644,0.0005644
68,9664.46,1.22087,0.93621,1.10219,0.33588,0.30315,0.25349,0.14569,1.6385,1.93788,1.37029,0.0005578,0.0005578,0.0005578
69,9810.24,1.19331,0.8954,1.1009,0.32137,0.32798,0.24927,0.14038,1.65604,1.93953,1.38161,0.0005512,0.0005512,0.0005512
70,9955.33,1.17158,0.89085,1.08551,0.31267,0.33059,0.26186,0.14616,1.66569,2.01157,1.39644,0.0005446,0.0005446,0.0005446
71,10099.9,1.17958,0.88893,1.10094,0.32832,0.30791,0.26181,0.14834,1.65981,1.9389,1.40481,0.000538,0.000538,0.000538
72,10240.5,1.16681,0.86608,1.09268,0.3016,0.30443,0.24896,0.1388,1.64745,1.98221,1.38856,0.0005314,0.0005314,0.0005314
73,10382,1.17421,0.88358,1.09631,0.35199,0.26373,0.25616,0.14517,1.65974,1.95196,1.40671,0.0005248,0.0005248,0.0005248
74,10525,1.12509,0.84235,1.07283,0.27585,0.33618,0.24287,0.13521,1.64858,2.071,1.38873,0.0005182,0.0005182,0.0005182
75,10670.8,1.15517,0.86858,1.07718,0.36138,0.29243,0.25016,0.14006,1.65697,2.04991,1.3931,0.0005116,0.0005116,0.0005116
76,10812,1.15618,0.85474,1.09321,0.27968,0.34135,0.24237,0.13403,1.64953,1.96566,1.39835,0.000505,0.000505,0.000505
77,10953.3,1.14993,0.83076,1.08735,0.2704,0.32826,0.24613,0.13882,1.65166,2.01257,1.39462,0.0004984,0.0004984,0.0004984
78,134.389,1.19444,0.96282,1.1106,0.26648,0.34276,0.23653,0.13086,1.65602,2.0606,1.38943,0.0004918,0.0004918,0.0004918
79,270.116,1.21901,0.98428,1.11619,0.26953,0.31017,0.2488,0.14079,1.64983,2.02333,1.37698,0.0004852,0.0004852,0.0004852
80,407.057,1.17963,0.92327,1.08925,0.29439,0.32012,0.24368,0.13324,1.64723,1.98402,1.38008,0.0004786,0.0004786,0.0004786
81,545.034,1.19099,0.9119,1.09205,0.33657,0.27567,0.24464,0.13645,1.64559,1.98008,1.3721,0.000472,0.000472,0.000472
82,679.14,1.18074,0.90405,1.09333,0.33629,0.26457,0.24276,0.13592,1.65012,2.04198,1.37648,0.0004654,0.0004654,0.0004654
83,812.419,1.20104,0.94777,1.09957,0.31191,0.2983,0.24119,0.1336,1.64353,2.04558,1.37302,0.0004588,0.0004588,0.0004588
84,948.037,1.16912,0.87239,1.10943,0.31777,0.33171,0.25694,0.14457,1.64336,2.02723,1.37694,0.0004522,0.0004522,0.0004522
85,122.117,1.12634,0.84036,1.07924,0.29899,0.34419,0.26146,0.1468,1.63394,1.99494,1.37519,0.0004456,0.0004456,0.0004456
86,246.943,1.1052,0.79857,1.06306,0.37306,0.28643,0.24329,0.13915,1.63639,2.02758,1.37922,0.000439,0.000439,0.000439
87,372.618,1.12602,0.83311,1.06476,0.30797,0.31644,0.2522,0.14214,1.63915,1.99041,1.38719,0.0004324,0.0004324,0.0004324
88,503.277,1.11371,0.79371,1.0573,0.3373,0.27046,0.23473,0.13425,1.64873,2.06217,1.39125,0.0004258,0.0004258,0.0004258
89,628.979,1.10974,0.79146,1.05393,0.2887,0.31105,0.24613,0.1395,1.66151,2.05546,1.39274,0.0004192,0.0004192,0.0004192
90,759.42,1.11252,0.80976,1.05815,0.38295,0.27008,0.24801,0.13797,1.66442,2.05366,1.40201,0.0004126,0.0004126,0.0004126
91,889.75,1.07092,0.77702,1.04168,0.34986,0.29392,0.24065,0.13764,1.65275,2.08573,1.38909,0.000406,0.000406,0.000406
92,1021.41,1.09028,0.77579,1.04067,0.31897,0.32144,0.23881,0.13493,1.66184,2.10753,1.39186,0.0003994,0.0003994,0.0003994
93,1152.3,1.07994,0.76295,1.04164,0.27416,0.33944,0.24208,0.13326,1.65668,2.10626,1.39343,0.0003928,0.0003928,0.0003928
94,1284.57,1.08953,0.77637,1.05245,0.35959,0.29421,0.24561,0.13786,1.66362,2.06468,1.40978,0.0003862,0.0003862,0.0003862
95,1420.81,1.08998,0.77435,1.04726,0.26761,0.3212,0.23349,0.13231,1.6501,2.11716,1.39453,0.0003796,0.0003796,0.0003796
96,1547.8,1.07574,0.75009,1.04841,0.28908,0.28072,0.2418,0.13753,1.66364,2.11259,1.40227,0.000373,0.000373,0.000373
97,1680.65,1.08466,0.78806,1.04,0.32518,0.29039,0.24984,0.13984,1.66671,2.0618,1.40127,0.0003664,0.0003664,0.0003664
98,1816.05,1.07884,0.78387,1.03758,0.35908,0.27501,0.24907,0.14149,1.65826,2.11261,1.40011,0.0003598,0.0003598,0.0003598
99,1951.28,1.05269,0.74945,1.03548,0.29515,0.32848,0.24982,0.14087,1.66064,2.0878,1.38821,0.0003532,0.0003532,0.0003532
100,2086.45,1.04282,0.72096,1.03301,0.31818,0.31053,0.24649,0.13632,1.66956,2.10809,1.39567,0.0003466,0.0003466,0.0003466
101,2221.84,1.0583,0.75932,1.0307,0.32957,0.28778,0.23596,0.12922,1.67866,2.11003,1.40408,0.00034,0.00034,0.00034
102,2361.25,1.06442,0.73271,1.03104,0.32521,0.2922,0.24241,0.13305,1.6671,2.09,1.40635,0.0003334,0.0003334,0.0003334
103,2493.82,1.0516,0.7381,1.02927,0.32552,0.28785,0.24212,0.13522,1.67969,2.13895,1.42449,0.0003268,0.0003268,0.0003268
104,2631.39,1.03697,0.72063,1.03004,0.33823,0.30003,0.24067,0.13215,1.6856,2.08998,1.42668,0.0003202,0.0003202,0.0003202
105,2767.19,1.05101,0.72074,1.02041,0.33663,0.28379,0.23955,0.13173,1.67948,2.12252,1.42268,0.0003136,0.0003136,0.0003136
106,2902.04,1.03671,0.70164,1.0264,0.34444,0.29874,0.2448,0.13521,1.67596,2.16087,1.40905,0.000307,0.000307,0.000307
107,3028.85,1.0285,0.69445,1.01581,0.30996,0.29643,0.23998,0.13263,1.68742,2.14586,1.42844,0.0003004,0.0003004,0.0003004
108,3164.05,1.0258,0.71868,1.02018,0.31021,0.30728,0.24163,0.135,1.67798,2.1472,1.41788,0.0002938,0.0002938,0.0002938
109,3294.46,1.02984,0.70838,1.01474,0.30827,0.31213,0.24128,0.13614,1.68283,2.11767,1.4233,0.0002872,0.0002872,0.0002872
110,3425.58,1.02942,0.7034,1.01819,0.31709,0.32206,0.24455,0.13738,1.68501,2.16898,1.42405,0.0002806,0.0002806,0.0002806
111,3561.91,0.9978,0.67336,1.01124,0.28503,0.31383,0.24788,0.13897,1.68268,2.19089,1.43368,0.000274,0.000274,0.000274
112,3700.81,1.00577,0.68137,1.01338,0.29433,0.32288,0.24324,0.13768,1.6818,2.1914,1.43158,0.0002674,0.0002674,0.0002674
113,3840.35,1.01269,0.70799,1.01643,0.35246,0.27356,0.24119,0.13593,1.67698,2.11876,1.42904,0.0002608,0.0002608,0.0002608
114,3974.84,1.00658,0.7038,1.01616,0.38063,0.28341,0.24891,0.13816,1.6788,2.13995,1.41909,0.0002542,0.0002542,0.0002542
115,4110.25,1.01084,0.68302,1.00286,0.34632,0.29769,0.23942,0.13288,1.68977,2.16866,1.43407,0.0002476,0.0002476,0.0002476
